time_utc,var,name,value
2019-02-06T15:34:51Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T15:39:52Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T15:39:53Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T15:39:55Z,air_carbon_dioxide_ppm,T6713-Top,108.0
2019-02-06T15:44:47Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T15:44:50Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T15:49:50Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T15:49:52Z,air_carbon_dioxide_ppm,T6713-Top,111.0
2019-02-06T15:49:54Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T15:54:48Z,air_carbon_dioxide_ppm,T6713-Top,99.0
2019-02-06T15:54:53Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T15:54:55Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T15:59:50Z,air_carbon_dioxide_ppm,T6713-Top,106.0
2019-02-06T15:59:52Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T15:59:54Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T16:04:50Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T16:04:51Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T16:04:51Z,air_carbon_dioxide_ppm,T6713-Top,106.0
2019-02-06T16:09:52Z,air_carbon_dioxide_ppm,T6713-Top,79.0
2019-02-06T16:09:56Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T16:10:00Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T16:14:51Z,air_carbon_dioxide_ppm,T6713-Top,70.0
2019-02-06T16:14:53Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T16:14:56Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T16:19:52Z,air_carbon_dioxide_ppm,T6713-Top,61.0
2019-02-06T16:19:59Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T16:20:01Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T16:24:53Z,air_carbon_dioxide_ppm,T6713-Top,60.0
2019-02-06T16:24:56Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T16:25:00Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T16:29:52Z,air_carbon_dioxide_ppm,T6713-Top,59.0
2019-02-06T16:29:53Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T16:30:02Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T17:47:11Z,air_carbon_dioxide_ppm,T6713-Top,70.0
2019-02-06T17:47:14Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T17:47:15Z,air_humidity_percent,SHT25-Top,26.0
2019-02-06T17:52:11Z,air_carbon_dioxide_ppm,T6713-Top,68.0
2019-02-06T17:52:14Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T17:52:15Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T17:57:18Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T17:57:19Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T17:57:22Z,air_carbon_dioxide_ppm,T6713-Top,60.0
2019-02-06T18:02:21Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T18:02:24Z,air_carbon_dioxide_ppm,T6713-Top,59.0
2019-02-06T18:02:27Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T18:07:15Z,air_carbon_dioxide_ppm,T6713-Top,57.0
2019-02-06T18:07:20Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T18:07:22Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T18:12:14Z,air_carbon_dioxide_ppm,T6713-Top,59.0
2019-02-06T18:12:17Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T18:12:21Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T18:17:16Z,air_carbon_dioxide_ppm,T6713-Top,68.0
2019-02-06T18:17:17Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T18:17:21Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T18:22:17Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T18:22:22Z,air_carbon_dioxide_ppm,T6713-Top,73.0
2019-02-06T18:22:23Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T18:27:15Z,air_carbon_dioxide_ppm,T6713-Top,71.0
2019-02-06T18:27:26Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T18:27:27Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T18:32:16Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T18:32:18Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T18:32:22Z,air_carbon_dioxide_ppm,T6713-Top,68.0
2019-02-06T18:37:21Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T18:37:22Z,air_carbon_dioxide_ppm,T6713-Top,55.0
2019-02-06T18:37:29Z,air_temperature_celcius,SHT25-Top,19.0
2019-02-06T18:42:18Z,air_carbon_dioxide_ppm,T6713-Top,55.0
2019-02-06T18:42:20Z,air_humidity_percent,SHT25-Top,26.0
2019-02-06T18:42:24Z,air_temperature_celcius,SHT25-Top,17.0
2019-02-06T18:47:17Z,air_carbon_dioxide_ppm,T6713-Top,71.0
2019-02-06T18:47:33Z,air_temperature_celcius,SHT25-Top,17.0
2019-02-06T18:47:35Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T18:52:22Z,air_carbon_dioxide_ppm,T6713-Top,74.0
2019-02-06T18:52:25Z,air_humidity_percent,SHT25-Top,28.0
2019-02-06T18:52:29Z,air_temperature_celcius,SHT25-Top,17.0
2019-02-06T18:57:18Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T18:57:22Z,air_temperature_celcius,SHT25-Top,18.0
2019-02-06T18:57:25Z,air_carbon_dioxide_ppm,T6713-Top,62.0
2019-02-06T19:02:23Z,air_carbon_dioxide_ppm,T6713-Top,63.0
2019-02-06T19:02:27Z,air_temperature_celcius,SHT25-Top,19.0
2019-02-06T19:02:28Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T19:07:25Z,air_temperature_celcius,SHT25-Top,19.0
2019-02-06T19:07:26Z,air_humidity_percent,SHT25-Top,25.0
2019-02-06T19:07:31Z,air_carbon_dioxide_ppm,T6713-Top,55.0
2019-02-06T19:12:21Z,air_carbon_dioxide_ppm,T6713-Top,51.0
2019-02-06T19:12:25Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T19:12:27Z,air_humidity_percent,SHT25-Top,25.0
2019-02-06T19:17:25Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:17:29Z,air_carbon_dioxide_ppm,T6713-Top,50.0
2019-02-06T19:17:30Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T19:22:23Z,air_carbon_dioxide_ppm,T6713-Top,45.0
2019-02-06T19:22:25Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:22:28Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T19:27:22Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:27:23Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T19:27:30Z,air_carbon_dioxide_ppm,T6713-Top,43.0
2019-02-06T19:32:27Z,air_carbon_dioxide_ppm,T6713-Top,45.0
2019-02-06T19:32:33Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T19:32:37Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:37:28Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T19:37:30Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:37:35Z,air_carbon_dioxide_ppm,T6713-Top,43.0
2019-02-06T19:42:24Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T19:42:25Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:42:32Z,air_carbon_dioxide_ppm,T6713-Top,45.0
2019-02-06T19:47:27Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:47:30Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T19:47:37Z,air_carbon_dioxide_ppm,T6713-Top,45.0
2019-02-06T19:52:31Z,air_carbon_dioxide_ppm,T6713-Top,42.0
2019-02-06T19:52:33Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T19:52:35Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T19:57:29Z,air_carbon_dioxide_ppm,T6713-Top,41.0
2019-02-06T19:57:33Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T19:57:38Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T20:02:25Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T20:02:27Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:02:31Z,air_carbon_dioxide_ppm,T6713-Top,39.0
2019-02-06T20:07:28Z,air_carbon_dioxide_ppm,T6713-Top,41.0
2019-02-06T20:07:33Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:07:38Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T20:12:28Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:12:30Z,air_carbon_dioxide_ppm,T6713-Top,33.0
2019-02-06T20:12:33Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T20:17:31Z,air_carbon_dioxide_ppm,T6713-Top,39.0
2019-02-06T20:17:39Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:17:42Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T20:22:29Z,air_carbon_dioxide_ppm,T6713-Top,40.0
2019-02-06T20:22:36Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:22:39Z,air_humidity_percent,SHT25-Top,25.0
2019-02-06T20:27:28Z,air_carbon_dioxide_ppm,T6713-Top,36.0
2019-02-06T20:27:36Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:27:37Z,air_humidity_percent,SHT25-Top,25.0
2019-02-06T20:32:30Z,air_humidity_percent,SHT25-Top,25.0
2019-02-06T20:32:34Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:32:41Z,air_carbon_dioxide_ppm,T6713-Top,40.0
2019-02-06T20:37:36Z,air_carbon_dioxide_ppm,T6713-Top,41.0
2019-02-06T20:37:40Z,air_humidity_percent,SHT25-Top,25.0
2019-02-06T20:37:42Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:42:34Z,air_humidity_percent,SHT25-Top,25.0
2019-02-06T20:42:35Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:42:38Z,air_carbon_dioxide_ppm,T6713-Top,41.0
2019-02-06T20:47:35Z,air_carbon_dioxide_ppm,T6713-Top,45.0
2019-02-06T20:47:40Z,air_humidity_percent,SHT25-Top,26.0
2019-02-06T20:47:41Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:52:32Z,air_carbon_dioxide_ppm,T6713-Top,39.0
2019-02-06T20:52:37Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T20:52:41Z,air_humidity_percent,SHT25-Top,26.0
2019-02-06T20:57:36Z,air_carbon_dioxide_ppm,T6713-Top,42.0
2019-02-06T20:57:37Z,air_humidity_percent,SHT25-Top,26.0
2019-02-06T20:57:41Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T21:02:36Z,air_humidity_percent,SHT25-Top,26.0
2019-02-06T21:02:39Z,air_carbon_dioxide_ppm,T6713-Top,42.0
2019-02-06T21:02:41Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T21:07:34Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T21:07:35Z,air_humidity_percent,SHT25-Top,26.0
2019-02-06T21:07:41Z,air_carbon_dioxide_ppm,T6713-Top,42.0
2019-02-06T21:12:39Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T21:12:39Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T21:12:42Z,air_carbon_dioxide_ppm,T6713-Top,42.0
2019-02-06T21:17:34Z,air_carbon_dioxide_ppm,T6713-Top,43.0
2019-02-06T21:17:39Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T21:17:40Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T21:22:34Z,air_carbon_dioxide_ppm,T6713-Top,43.0
2019-02-06T21:22:36Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T21:22:39Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T21:27:37Z,air_carbon_dioxide_ppm,T6713-Top,43.0
2019-02-06T21:27:39Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T21:27:44Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T21:32:36Z,air_carbon_dioxide_ppm,T6713-Top,39.0
2019-02-06T21:32:40Z,air_humidity_percent,SHT25-Top,27.0
2019-02-06T21:32:42Z,air_temperature_celcius,SHT25-Top,21.0
