time_utc,var,name,value
2019-02-04T12:35:49Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:35:59Z,air_carbon_dioxide_ppm,T6713-Top,431.0
2019-02-04T12:40:52Z,air_carbon_dioxide_ppm,T6713-Top,426.0
2019-02-04T12:41:01Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:41:02Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T12:45:57Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T12:46:03Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:46:03Z,air_carbon_dioxide_ppm,T6713-Top,423.0
2019-02-04T12:50:59Z,air_carbon_dioxide_ppm,T6713-Top,420.0
2019-02-04T12:51:00Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:51:04Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T12:55:55Z,air_carbon_dioxide_ppm,T6713-Top,420.0
2019-02-04T12:55:57Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:55:59Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T13:01:05Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T13:01:06Z,air_carbon_dioxide_ppm,T6713-Top,426.0
2019-02-04T13:01:09Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T13:05:56Z,air_carbon_dioxide_ppm,T6713-Top,426.0
2019-02-04T13:05:58Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T13:06:01Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T13:35:56Z,air_carbon_dioxide_ppm,T6713-Top,412.0
2019-02-04T13:36:04Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T13:36:05Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T13:40:53Z,air_carbon_dioxide_ppm,T6713-Top,413.0
2019-02-04T13:40:58Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T13:41:05Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T13:45:56Z,air_carbon_dioxide_ppm,T6713-Top,492.0
2019-02-04T13:46:08Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T13:46:08Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T13:51:00Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T13:51:01Z,air_carbon_dioxide_ppm,T6713-Top,464.0
2019-02-04T13:51:02Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T13:55:57Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T13:55:59Z,air_carbon_dioxide_ppm,T6713-Top,425.0
2019-02-04T13:56:02Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T14:00:56Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T14:00:58Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:01:02Z,air_carbon_dioxide_ppm,T6713-Top,420.0
2019-02-04T14:05:58Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:06:00Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T14:06:01Z,air_carbon_dioxide_ppm,T6713-Top,450.0
2019-02-04T14:10:57Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:11:01Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T14:11:06Z,air_carbon_dioxide_ppm,T6713-Top,422.0
2019-02-04T14:16:01Z,air_carbon_dioxide_ppm,T6713-Top,417.0
2019-02-04T14:16:03Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T14:16:06Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T14:20:59Z,air_carbon_dioxide_ppm,T6713-Top,433.0
2019-02-04T14:21:02Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T14:21:08Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:26:01Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:26:02Z,air_carbon_dioxide_ppm,T6713-Top,418.0
2019-02-04T14:26:10Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T14:31:02Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:31:05Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T14:31:14Z,air_carbon_dioxide_ppm,T6713-Top,411.0
2019-02-04T14:36:01Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:36:03Z,air_carbon_dioxide_ppm,T6713-Top,408.0
2019-02-04T14:36:05Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T14:41:03Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:41:05Z,air_humidity_percent,SHT25-Top,30.0
2019-02-04T14:41:10Z,air_carbon_dioxide_ppm,T6713-Top,413.0
2019-02-04T14:46:12Z,air_carbon_dioxide_ppm,T6713-Top,414.0
2019-02-04T14:46:13Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:46:13Z,air_humidity_percent,SHT25-Top,31.0
2019-02-04T14:51:11Z,air_carbon_dioxide_ppm,T6713-Top,425.0
2019-02-04T14:51:13Z,air_humidity_percent,SHT25-Top,32.0
2019-02-04T14:51:17Z,air_temperature_celcius,SHT25-Top,26.0
2019-02-04T14:56:05Z,air_humidity_percent,SHT25-Top,32.0
2019-02-04T14:56:07Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T14:56:11Z,air_carbon_dioxide_ppm,T6713-Top,413.0
2019-02-04T15:18:07Z,air_carbon_dioxide_ppm,T6713-Top,429.0
2019-02-04T15:18:09Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T15:18:18Z,air_humidity_percent,SHT25-Top,44.0
2019-02-04T15:23:08Z,air_carbon_dioxide_ppm,T6713-Top,426.0
2019-02-04T15:23:17Z,air_humidity_percent,SHT25-Top,42.0
2019-02-04T15:23:21Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T16:13:08Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T16:13:12Z,air_carbon_dioxide_ppm,T6713-Top,433.0
2019-02-04T16:13:14Z,air_humidity_percent,SHT25-Top,41.0
2019-02-04T16:18:09Z,air_humidity_percent,SHT25-Top,41.0
2019-02-04T16:18:11Z,air_carbon_dioxide_ppm,T6713-Top,429.0
2019-02-04T16:18:14Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T16:23:10Z,air_carbon_dioxide_ppm,T6713-Top,433.0
2019-02-04T16:23:14Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T16:23:15Z,air_humidity_percent,SHT25-Top,41.0
2019-02-04T16:28:12Z,air_carbon_dioxide_ppm,T6713-Top,439.0
2019-02-04T16:28:14Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T16:28:16Z,air_humidity_percent,SHT25-Top,40.0
2019-02-04T16:33:11Z,air_carbon_dioxide_ppm,T6713-Top,430.0
2019-02-04T16:33:12Z,air_temperature_celcius,SHT25-Top,24.0
